
**********************************
----------------------------------
             Secuencial           
----------------------------------
**********************************
----------------------------------
         img1 720p                
----------------------------------
Kernel		Time
3 	0.120
5 	0.106
7 	0.090
9 	0.097
11 	0.097
13 	0.079
15 	0.107
----------------------------------
          img2 1080p              
----------------------------------
Kernel		Time
3 	0.088
5 	0.060
7 	0.064
9 	0.092
11 	0.068
13 	0.096
15 	0.107
----------------------------------
          img3 4k                 
----------------------------------
Kernel		Time
3 	0.099
5 	0.096
7 	0.079
9 	0.108
11 	0.092
13 	0.081
15 	0.072

**********************************
----------------------------------
          Paralelizado            
----------------------------------
**********************************
----------------------------------
          img1 720p               
----------------------------------
Kernel		Blocks		Threads		Time
3 			1 		128 		0.178
3 			1 		256 		0.183
3 			1 		384 		0.195
3 			1 		512 		0.193
3 			1 		640 		0.191
3 			1 		768 		0.190
3 			1 		896 		0.195
3 			1 		1024 		0.189
3 			2 		128 		0.185
3 			2 		256 		0.148
3 			2 		384 		0.123
3 			2 		512 		0.133
3 			2 		640 		0.127
3 			2 		768 		0.142
3 			2 		896 		0.151
3 			2 		1024 		0.179
3 			3 		128 		0.187
3 			3 		256 		0.195
3 			3 		384 		0.185
3 			3 		512 		0.192
3 			3 		640 		0.192
3 			3 		768 		0.135
3 			3 		896 		0.160
3 			3 		1024 		0.183
3 			4 		128 		0.181
3 			4 		256 		0.181
3 			4 		384 		0.191
3 			4 		512 		0.182
3 			4 		640 		0.184
3 			4 		768 		0.190
3 			4 		896 		0.183
3 			4 		1024 		0.190
5 			1 		128 		0.262
5 			1 		256 		0.220
5 			1 		384 		0.210
5 			1 		512 		0.204
5 			1 		640 		0.201
5 			1 		768 		0.197
5 			1 		896 		0.174
5 			1 		1024 		0.161
5 			2 		128 		0.161
5 			2 		256 		0.149
5 			2 		384 		0.191
5 			2 		512 		0.198
5 			2 		640 		0.191
5 			2 		768 		0.192
5 			2 		896 		0.162
5 			2 		1024 		0.163
5 			3 		128 		0.180
5 			3 		256 		0.185
5 			3 		384 		0.176
5 			3 		512 		0.203
5 			3 		640 		0.181
5 			3 		768 		0.201
5 			3 		896 		0.200
5 			3 		1024 		0.198
5 			4 		128 		0.205
5 			4 		256 		0.198
5 			4 		384 		0.201
5 			4 		512 		0.176
5 			4 		640 		0.189
5 			4 		768 		0.183
5 			4 		896 		0.198
5 			4 		1024 		0.187
7 			1 		128 		0.300
7 			1 		256 		0.259
7 			1 		384 		0.216
7 			1 		512 		0.210
7 			1 		640 		0.215
7 			1 		768 		0.212
7 			1 		896 		0.200
7 			1 		1024 		0.212
7 			2 		128 		0.247
7 			2 		256 		0.230
7 			2 		384 		0.206
7 			2 		512 		0.147
7 			2 		640 		0.195
7 			2 		768 		0.200
7 			2 		896 		0.210
7 			2 		1024 		0.210
7 			3 		128 		0.235
7 			3 		256 		0.213
7 			3 		384 		0.190
7 			3 		512 		0.203
7 			3 		640 		0.188
7 			3 		768 		0.210
7 			3 		896 		0.210
7 			3 		1024 		0.181
7 			4 		128 		0.222
7 			4 		256 		0.187
7 			4 		384 		0.173
7 			4 		512 		0.173
7 			4 		640 		0.215
7 			4 		768 		0.213
7 			4 		896 		0.196
7 			4 		1024 		0.211
9 			1 		128 		0.406
9 			1 		256 		0.277
9 			1 		384 		0.261
9 			1 		512 		0.227
9 			1 		640 		0.201
9 			1 		768 		0.201
9 			1 		896 		0.224
9 			1 		1024 		0.230
9 			2 		128 		0.272
9 			2 		256 		0.205
9 			2 		384 		0.182
9 			2 		512 		0.189
9 			2 		640 		0.221
9 			2 		768 		0.203
9 			2 		896 		0.192
9 			2 		1024 		0.205
9 			3 		128 		0.262
9 			3 		256 		0.232
9 			3 		384 		0.233
9 			3 		512 		0.199
9 			3 		640 		0.187
9 			3 		768 		0.183
9 			3 		896 		0.193
